ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
8.01E+11,1.02E+18,8.57E+17,TWEET FROM: Kaushik00526896,KAUSHIK00526896,'@Smartprix Oppo findX Vivo next S @Smartprix  #smartprix   Join @angeleyess4uin  @selfieholic_  @sassyAnokhi',http://twitter.com/857332688952467456/statuses/1024616883226431489,TWITTER,Unknown,English,No,08-01-2018 11:24,08-01-2018 11:24,Neutral,0,0,0,0,0,0,0,1773,293,9022,
8.01E+11,1.02E+18,4482304753,TWEET FROM: Nandha_KD,NANDHA_KD,https://t.co/zG7hff6dS1 @Vivo_India,http://twitter.com/4482304753/statuses/1024616256232611840,TWITTER,India,English,No,08-01-2018 11:22,08-01-2018 11:22,Neutral,0,0,0,0,0,0,0,243,34,148,QUOTE_TWEET
8.01E+11,1.02E+18,4482304753,TWEET FROM: Nandha_KD,NANDHA_KD,https://t.co/zG7hff6dS1,http://twitter.com/4482304753/statuses/1024616157171474433,TWITTER,India,English,No,08-01-2018 11:21,08-01-2018 11:21,Neutral,0,0,0,0,0,0,0,243,34,148,QUOTE_TWEET
8.01E+11,1.02E+18,1593131269,TWEET FROM: iam_bett,IAM_BETT,This video may change your perception about the Oppo FindX...  https://t.co/vuphQz6PCL,http://twitter.com/1593131269/statuses/1024614779124678662,TWITTER,Kenya,English,No,08-01-2018 11:16,08-01-2018 11:16,Neutral,0,0,0,0,0,0,0,1812,87353,94757,
8.01E+11,1.02E+18,9.43E+17,TWEET FROM: Prashanth_techy,PRASHANTH_TECHY,@Smartprix 🔹RAZOR Phone 🔹VIVONEX   #Smartprix @Smartprix',http://twitter.com/943124710404919298/statuses/1024614087781543936,TWITTER,India,English,No,08-01-2018 11:13,08-01-2018 11:13,Neutral,0,0,0,0,0,0,0,990,231,20811,
8.01E+11,1.02E+18,4106416600,TWEET FROM: faryadbaryar80,FARYADBARYAR80,Comparison of #VivoNEX S Vs #VivoZ10 Read More: https://t.co/EUEmXSxIvL https://t.co/BmnpPpOynD,http://twitter.com/4106416600/statuses/1024613971599482881,TWITTER,Unknown,English,No,08-01-2018 11:13,08-01-2018 11:13,Neutral,0,0,0,0,0,0,0,2990,3038,1174,
8.01E+11,1.02E+18,2894370894,TWEET FROM: Dhananjay_Tech,DHANANJAY_TECH,It's been 10 days since I reviewed the @Vivo_India Nex Smartphone &amp; I'm still using it as my primary device &amp; experience is amazing so far!   Probably the best Vivo device I've used 😎  Here's @ChinmayDhumal's take on it!  https://t.co/ERaI6NERTI  #NexOrNever #VivoNex,http://twitter.com/2894370894/statuses/1024608207917002753,TWITTER,India,English,No,08-01-2018 10:50,08-01-2018 10:50,Positive,0,0,0,0,0,0,0,103,19623,18992,
8.01E+11,1.02E+18,9.98E+17,TWEET FROM: Vivo_Testing,VIVO_TESTING,NEX level technology meets gorgeous design. Experience the future of smartphones. # VivoNEX # NexOrNever  Buy Now: https://t.co/zGQWNrLb6T https://t.co/XRa8cxJbPB,http://twitter.com/997743513692491778/statuses/1024604768964997120,TWITTER,Unknown,English,No,08-01-2018 10:36,08-01-2018 10:36,Positive,0,0,0,0,0,0,0,0,0,94,
8.01E+11,1.02E+18,9.98E+17,TWEET FROM: Vivo_Testing,VIVO_TESTING,Stunning looks. Pioneering technology. The future is NEX. # VivoNEX # NexOrNever  Buy Now: https://t.co/zGQWNrLb6T https://t.co/ftNj3BvR6f,http://twitter.com/997743513692491778/statuses/1024604102393659393,TWITTER,Unknown,English,No,08-01-2018 10:33,08-01-2018 10:33,Positive,0,0,0,0,0,0,0,0,0,93,
8.01E+11,1.02E+18,9.98E+17,TWEET FROM: Vivo_Testing,VIVO_TESTING,Discover innovation with an impact. It's time to experience the NEX level. # VivoNEX # NexOrNever  Buy Now: https://t.co/zGQWNrLb6T https://t.co/kCtrjofACc,http://twitter.com/997743513692491778/statuses/1024603556886659073,TWITTER,Unknown,English,No,08-01-2018 10:31,08-01-2018 10:31,Positive,0,0,0,0,0,0,0,0,0,92,
